[ 2025-08-12 16:32:18,462 ] 17 root - INFO - Initiate the data ingestion
[ 2025-08-12 16:33:43,470 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-08-12 16:33:43,470 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-12 16:33:43,472 ] 72 root - INFO - Exporting train and test file path.
[ 2025-08-12 16:33:43,619 ] 81 root - INFO - Exported train and test file path.
[ 2025-08-12 16:33:43,620 ] 19 root - INFO - Data Initiation Completed
[ 2025-08-12 16:33:43,633 ] 24 root - INFO - Initiate the data Validation
[ 2025-08-12 16:33:43,735 ] 32 root - INFO - Required number of columns:2
[ 2025-08-12 16:33:43,750 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-12 16:33:43,750 ] 32 root - INFO - Required number of columns:2
[ 2025-08-12 16:33:43,750 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-12 16:33:44,083 ] 26 root - INFO - data Validation Completed
[ 2025-08-12 16:33:44,084 ] 31 root - INFO - data Transformation started
[ 2025-08-12 16:33:44,084 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-12 16:33:44,085 ] 65 root - INFO - Starting data transformation
[ 2025-08-12 16:33:44,152 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-12 16:33:44,153 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-12 16:33:44,190 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-12 16:33:44,197 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-12 16:33:44,198 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-12 16:33:44,208 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-12 16:33:44,213 ] 35 root - INFO - data Transformation completed
[ 2025-08-12 16:33:44,214 ] 37 root - INFO - Model Training sstared
