[ 2025-08-12 16:56:04,222 ] 17 root - INFO - Initiate the data ingestion
[ 2025-08-12 16:57:39,512 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-08-12 16:57:39,515 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-12 16:57:39,520 ] 72 root - INFO - Exporting train and test file path.
[ 2025-08-12 16:57:39,728 ] 81 root - INFO - Exported train and test file path.
[ 2025-08-12 16:57:39,729 ] 19 root - INFO - Data Initiation Completed
[ 2025-08-12 16:57:39,747 ] 24 root - INFO - Initiate the data Validation
[ 2025-08-12 16:57:39,880 ] 32 root - INFO - Required number of columns:2
[ 2025-08-12 16:57:39,889 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-12 16:57:39,890 ] 32 root - INFO - Required number of columns:2
[ 2025-08-12 16:57:39,890 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-12 16:57:40,245 ] 26 root - INFO - data Validation Completed
[ 2025-08-12 16:57:40,246 ] 31 root - INFO - data Transformation started
[ 2025-08-12 16:57:40,246 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-12 16:57:40,246 ] 65 root - INFO - Starting data transformation
[ 2025-08-12 16:57:40,308 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-12 16:57:40,308 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-12 16:57:40,359 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-12 16:57:40,365 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-12 16:57:40,365 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-12 16:57:40,371 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-12 16:57:40,374 ] 35 root - INFO - data Transformation completed
[ 2025-08-12 16:57:40,374 ] 37 root - INFO - Model Training sstared
