[ 2025-08-12 17:04:44,998 ] 17 root - INFO - Initiate the data ingestion
[ 2025-08-12 17:06:53,455 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-08-12 17:06:53,456 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-12 17:06:53,457 ] 72 root - INFO - Exporting train and test file path.
[ 2025-08-12 17:06:53,614 ] 81 root - INFO - Exported train and test file path.
[ 2025-08-12 17:06:53,615 ] 19 root - INFO - Data Initiation Completed
[ 2025-08-12 17:06:53,627 ] 24 root - INFO - Initiate the data Validation
[ 2025-08-12 17:06:53,783 ] 32 root - INFO - Required number of columns:2
[ 2025-08-12 17:06:53,784 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-12 17:06:53,784 ] 32 root - INFO - Required number of columns:2
[ 2025-08-12 17:06:53,784 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-12 17:06:54,157 ] 26 root - INFO - data Validation Completed
[ 2025-08-12 17:06:54,157 ] 31 root - INFO - data Transformation started
[ 2025-08-12 17:06:54,158 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-12 17:06:54,158 ] 65 root - INFO - Starting data transformation
[ 2025-08-12 17:06:54,210 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-12 17:06:54,211 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-12 17:06:54,238 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-12 17:06:54,243 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-12 17:06:54,244 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-12 17:06:54,248 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-12 17:06:54,250 ] 35 root - INFO - data Transformation completed
[ 2025-08-12 17:06:54,250 ] 37 root - INFO - Model Training sstared
[ 2025-08-12 17:15:04,075 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-12 17:15:04,078 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-12 17:15:04,078 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-12 17:15:04,092 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-12 17:15:04,092 ] 142 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_12_2025_17_04_40\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911504424778761, precision_score=0.9886363636363636, recall_score=0.9936773404038344), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9749900754267566, precision_score=0.9707509881422924, recall_score=0.9792663476874003))
[ 2025-08-12 17:15:04,095 ] 42 root - INFO - Model Training artifact created
