[ 2025-08-12 17:37:47,435 ] 17 root - INFO - Initiate the data ingestion
[ 2025-08-12 17:39:25,511 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-08-12 17:39:25,511 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-12 17:39:25,512 ] 72 root - INFO - Exporting train and test file path.
[ 2025-08-12 17:39:25,602 ] 81 root - INFO - Exported train and test file path.
[ 2025-08-12 17:39:25,602 ] 19 root - INFO - Data Initiation Completed
[ 2025-08-12 17:39:25,609 ] 24 root - INFO - Initiate the data Validation
[ 2025-08-12 17:39:25,701 ] 32 root - INFO - Required number of columns:2
[ 2025-08-12 17:39:25,702 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-12 17:39:25,702 ] 32 root - INFO - Required number of columns:2
[ 2025-08-12 17:39:25,702 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-12 17:39:25,917 ] 26 root - INFO - data Validation Completed
[ 2025-08-12 17:39:25,918 ] 31 root - INFO - data Transformation started
[ 2025-08-12 17:39:25,918 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-12 17:39:25,918 ] 65 root - INFO - Starting data transformation
[ 2025-08-12 17:39:25,959 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-12 17:39:25,959 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-12 17:39:25,983 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-12 17:39:25,989 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-12 17:39:25,989 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-12 17:39:25,995 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-12 17:39:25,997 ] 35 root - INFO - data Transformation completed
[ 2025-08-12 17:39:25,997 ] 37 root - INFO - Model Training sstared
